route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
nir:15003:0:H:mtt,,30,Bus 30,City Centre - Mount Merrion - Upper Knockbreda Road,3,,,
nir:04302:D:H:y14,,302D,Bus 302D,Town Service Rathgill / Breezemount,3,,,
nir:08026:A:H:y14,,26A,Bus 26A,Lisburn - Ballynahinch - Newcastle,3,,,
nir:07010:2:H:y14,,102,Bus 102,Derry~Londonderry - Strabane,3,,,
nir:19006: :H:y14,,6,Bus 6,Bangor - Newtownards,3,,,
nir:12359: :H:y14,,359a,Bus 359a,Larne - Antiville Town Service,3,,,
nir:90002: :H:r12,,,Rail,,6,,,
nir:12025:3:H:y14,,253,Bus 253,Belfast - Ballyclare - Larne,3,,,
nir:14011:0:H:y14,,110,Bus 110,Antrim - Cookstown,3,,,
nir:08003:7:H:y14,,37,Bus 37,"Newcastle, Bus Station - Kilkeel, Greencastle Street",3,,,
nir:1501A: :H:mtt,,1A,Bus 1A,City Centre - Carnmoney - Fairview Road - Glenville,3,,,
nir:15011:C:H:mtt,,11C,Bus 11C,City Centre - Glencairn,3,,,
nir:12307:D:H:y14,,307D,Bus 307D,"Newtownards, Shopping Centre - West Winds Estate, Church",3,,,
nir:02027:0:H:y14,,270,Bus 270,Belfast - Cavan,3,,,
nir:12009: :H:y14,,9,Bus 9,Belfast - Portaferry Via Newtownards,3,,,
nir:15010:F:H:mtt,,10F,Bus 10F,City Centre - Lagmore View,3,,,
nir:08026:B:H:y14,,26B,Bus 26B,Lisburn - Ballynahinch - Newcastle,3,,,
nir:19005:D:H:y14,,5D,Bus 5D,Newtownards - West Winds Estate,3,,,
nir:07181: :H:y14,,181,Bus 181,"Foyle Sreet, Buscentre to Buncrana",3,,,
nir:19007: :R:y14,,7,Bus 7,Ballywalter - Newtownards - Belfast,3,,,
nir:17053:8:H:y14,,538,Bus 538,Belfast - Banbridge - Newry,3,,,
nir:21FY4: :H:y14,,FY4,Bus FY4,City Centre - Altnagelvin - Curryneirin,3,,,
nir:1528A: :R:mtt,,28A,Bus 28A,Holywood Exchange - City Centre,3,,,
nir:13325:E:H:y14,,325F,Bus 325F,"Lisburn City Service - Knockmore, Estate",3,,,
nir:19307:B:H:y14,,307B,Bus 307B,Town Service Ringhaddy Drive,3,,,
nir:13053:2:R:y14,,532,Bus 532,Lisburn - Belfast,3,,,
nir:01321:C:H:y14,,321d,Bus 321d,Antrim Town Service,3,,,
nir:05134: :H:y14,,134,Bus 134,"Coleraine, Buscentre - Limavady, Buscentre",3,,,
nir:15060:0:H:mtt,,600,Bus 600,Europa Buscentre - George Best Belfast City Airport,3,,,
nir:02004:0:H:y14,,40,Bus 40,Newry - Armagh,3,,,
nir:19307:E:H:y14,,307E,Bus 307E,Town Service Scrabo Estate,3,,,
nir:08014: :H:y14,,14,Bus 14,"Downpatrick, Bus Station - Shrigley, Mill",3,,,
nir:02040:B:H:y14,,40B,Bus 40B,Newry - Armagh,3,,,
nir:15001:F:R:mtt,,1F,Bus 1F,Blackrock - Mayfield - City Centre,3,,,
nir:15002:E:H:mtt,,2E,Bus 2E,City Centre - Rathcoole - Monkstown,3,,,
nir:13026: :R:y14,,26,Bus 26,"Dromara, Bus Depot - Lisburn Buscentre",3,,,
nir:19009:B:H:y14,,9B,Bus 9B,Belfast - Newtownards - Portaferry,3,,,
nir:21FY1:A:H:y14,,FY13,Bus FY13,City Centre  -Fernabbey,3,,,
nir:18563: :R:y14,,563,Bus 563,Whitehead - Greenisland - Belfast,3,,,
nir:02027:1:R:y14,,271,Bus 271,Cavan - Belfast,3,,,
nir:10019:4:H:y14,,194,Bus 194,Enniskillen - Pettigo,3,,,
nir:12359:C:H:y14,,359d,Bus 359d,"Larne, Harbour Town Service",3,,,
nir:15007:7:R:mtt,,77,Bus 77,Newtownbreda Tesco - Beechill Road - Belvoir - City Centre,3,,,
nir:20384: :R:y14,,384D,Bus 384D,Omagh Town Service,3,,,
nir:17023:8:R:y14,,238,Bus 238,Newry - Banbridge - Belfast,3,,,
nir:05011:7:R:y14,,117,Bus 117,Kilrea - Coleraine,3,,,
