route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
nir:05319:B:H:y14,,319c,Bus 319c,Coleraine Mall Bus Stop - Coleraine Mall Bus Stop,3,,,
nir:15004:A:H:mtt,,4A,Bus 4A,City Centre - Dundonald - Ballybeen,3,,,
nir:05178: :R:y14,,178,Bus 178,"Ballycastle, Marine Cnr - Coleraine, Buscentre",3,,,
nir:07024:6:R:y14,,246,Bus 246,Limavady - Dungiven,3,,,
nir:21FY7: :H:y14,,FY7,Bus FY7,City Centre - Lone Moor,3,,,
nir:15010:E:R:mtt,,10E,Bus 10E,Lagmore Mount Eagles - City Centre,3,,,
nir:15007:8:R:mtt,,78,Bus 78,Newtownbreda Tesco - Belvoir - City Centre,3,,,
nir:04502:A:R:y14,,502A,Bus 502A,Bangor - Holywood - Belfast,3,,,
nir:05013:1:R:y14,,131,Bus 131,Ballycastle - Ballymena,3,,,
nir:210FY:8:R:y14,,FY8,Bus FY8,Creggan - City Centre,3,,,
nir:13051:2:H:y14,,512,Bus 512,Belfast - Ballygowan - Raffrey,3,,,
nir:12162:A:H:y14,,162,Bus 162,"Larne, Bus Station - Carnlough",3,,,
nir:15096: :R:mtt,,96,Bus 96,Stena Line Terminal - Westbank Road - Duncrue Road - City Centre,3,,,
nir:15012:B:H:mtt,,12B,Bus 12B,City Centre - Carr's Glen,3,,,
nir:05057:3:R:y14,,573,Bus 573,Antrim - Belfast,3,,,
nir:19005:F:H:y14,,5F,Bus 5F,Belfast - Newtownards,3,,,
nir:08001:8:R:y14,,18,Bus 18,Newcastle - Belfast,3,,,
nir:21FY1:E:R:y14,,FY16,Bus FY16,Towards City Centre,3,,,
nir:15010:A:R:mtt,,10A,Bus 10A,Ladybrook - City Centre,3,,,
nir:20009:3:H:y14,,93,Bus 93,Omagh - Beragh - Sixmilecross - Gortfin,3,,,
nir:17029: :H:y14,,29,Bus 29,"Banbridge, Kenlis Street - Rathfriland, Bus Depot",3,,,
nir:10397:A:H:y14,,397c,Bus 397c,"Enniskillen, Buscentre - Enniskillen, Buscentre",3,,,
nir:0976A: :H:y14,,76A,Bus 76A,Dungannon - Ballygawley,3,,,
nir:02040:B:R:y14,,40B,Bus 40B,Armagh - Newry,3,,,
nir:07018:2:R:y14,,182,Bus 182,Ardground - Derry~Londonderry,3,,,
nir:1502G: :R:mtt,,2G,Bus 2G,Monkstown - City Centre,3,,,
nir:12009: :R:y14,,9,Bus 9,"Portaferry - Belfast, Europa Buscentre",3,,,
nir:18367: :R:y14,,367,Bus 367,Newtownabbey Town Service,3,,,
nir:10019:5:R:y14,,195,Bus 195,Bundoran - Pettigo,3,,,
nir:07021:2:H:y14,,212,Bus 212,Belfast - Derry~Londonderry,3,,,
nir:15008:1:R:mtt,,81,Bus 81,Hannahstown - Glen Road - Turf Lodge - City Centre,3,,,
nir:05319: :H:y14,,319a,Bus 319a,Coleraine Mall Bus Stop - Coleraine Mall Bus Stop,3,,,
nir:15009:2:H:mtt,,92,Bus 92,City Centre - Boucher Road - Musgrave Park Hospital,3,,,
nir:01321:D:H:y14,,321e,Bus 321e,Antrim Hospital Link Line,3,,,
nir:15010:D:H:mtt,,10D,Bus 10D,City Centre - Lagmore Mount Eagles,3,,,
nir:14020:9:H:y14,,209,Bus 209,Cookstown - Belfast,3,,,
nir:15002:B:H:mtt,,2B,Bus 2B,City Centre - Fairview Road,3,,,
nir:21FY1: :H:y14,,FY12,Bus FY12,City Centre - Slievemore,3,,,
nir:21FY6: :H:y14,,FY6,Bus FY6,City Centre - Newbuildings,3,,,
nir:0816F: :H:y14,,16F,Bus 16F,Downpatrick - Ardglass,3,,,
nir:15600:A:H:mtt,,600A,Bus 600A,Europa Buscentre - George Best Belfast City Airport,3,,,
nir:12005:D:H:y14,,5D,Bus 5D,"Newtownards - West Winds Estate, Church",3,,,
nir:20384:A:R:y14,,384F,Bus 384F,Omagh Town Service,3,,,
nir:17042: :R:y14,,42,Bus 42,"Crossmaglen, Square - Newry, Buscentre",3,,,
nir:13010:3:R:y14,,103,Bus 103,Crumlin - Ballymacash - Belfast,3,,,
nir:17004:3:H:y14,,43,Bus 43,Newry - Forkhill,3,,,
nir:21FY3: :H:y14,,FY3,Bus FY3,City Centre - Kilfennan,3,,,
nir:20009:7:R:y14,,97,Bus 97,Omagh - Strabane,3,,,
nir:15026:C:R:mtt,,26C,Bus 26C,Titanic Quarter Belfast Met - City Centre,3,,,
nir:1905A: :H:y14,,5A,Bus 5A,Newtownards - Comber,3,,,
nir:21FY1:D:H:y14,,FY1,Bus FY1,City Centre - Strathfoyle,3,,,
nir:15600:B:R:mtt,,600B,Bus 600B,George Best Belfast City Airport - City Centre,3,,,
nir:01109: :H:y14,,109A,Bus 109A,"Antrim, Buscentre - Lisburn, Buscentre",3,,,
nir:05021:7:R:y14,,217,Bus 217,Ballycastle - Ballymena,3,,,
nir:12005:D:R:y14,,5D,Bus 5D,"West Winds Estate, Church - Newtownards",3,,,
nir:05017:2:H:y14,,172,Bus 172,Coleraine - Ballycastle,3,,,
nir:15011:B:R:mtt,,11B,Bus 11B,Springmartin - City Centre,3,,,
nir:09008:6:R:y14,,86,Bus 86,Omagh - Carrickmore - Dungannon,3,,,
nir:04302:G:H:y14,,302G,Bus 302G,Bangor Town Service Rathmore,3,,,
nir:13052:2:H:y14,,522,Bus 522,Belfast - Lisburn,3,,,
nir:15011:D:H:mtt,,11D,Bus 11D,City Centre - Glencairn - Springmartin,3,,,
nir:15002:A:H:mtt,,2A,Bus 2A,City Centre - Fairview Road,3,,,
nir:08001:9:R:y14,,19,Bus 19,Ballynahinch - Downpatrick,3,,,
nir:18367: :H:y14,,367,Bus 367,Newtownabbey Town Service,3,,,
nir:15001:E:R:mtt,,1E,Bus 1E,Roughfort - City Centre,3,,,
nir:06004:7:R:y14,,47,Bus 47,Portadown - Lurgan,3,,,
nir:07014:4:H:y14,,144,Bus 144,Derry~Londonderry - Limavady,3,,,
nir:01010:9:R:y14,,109,Bus 109,Antrim - Crumlin - Lisburn,3,,,
nir:1502G: :H:mtt,,2G,Bus 2G,City Centre - Monkstown,3,,,
nir:0816D: :R:y14,,16d,Bus 16d,"Ballylucas, Bus stop - Downpatrick, Bus Station",3,,,
nir:12010:A:H:y14,,10A,Bus 10A,Belfast - Portaferry,3,,,
nir:0975A: :H:y14,,75A,Bus 75A,"Dungannon, Bus Station - Craigavon Hospital",3,,,
nir:15008:A:H:mtt,,8A,Bus 8A,City Centre - Stranmillis - Malone,3,,,
nir:02025:1:H:y14,,251,Bus 251,Belfast - Armagh,3,,,
nir:15007:7:H:mtt,,77,Bus 77,City Centre - Belvoir - Beechill Road - Newtownbreda Tesco,3,,,
nir:15096: :H:mtt,,96,Bus 96,City Centre - Duncrue Road - Westbank Road - Stena Line Terminal,3,,,
nir:19005: :R:y14,,5,Bus 5,Newtownards - Belfast,3,,,
nir:12153: :R:y14,,153b,Bus 153b,Dixons Corner to Ballyclare,3,,,
nir:15060:0:R:mtt,,600,Bus 600,George Best Belfast City Airport - City Centre,3,,,
nir:15005:A:R:mtt,,5A,Bus 5A,Braniel - City Centre,3,,,
nir:10058: :H:y14,,58,Bus 58,"Enniskillen, Buscentre - Belturbet",3,,,
nir:06352:B:H:y14,,352C,Bus 352C,Lurgan Town Service,3,,,
nir:15007:B:H:mtt,,7B,Bus 7B,City Centre - Four Winds - Laurelgrove,3,,,
nir:04002: :H:y14,,2,Bus 2,Belfast - Holywood - Bangor,3,,,
nir:05171: :H:y14,,171,Bus 171,"Coleraine, Buscentre - Ballycastle, Marine Corner",3,,,
nir:02040:E:H:y14,,40E,Bus 40E,Newry - Armagh,3,,,
nir:07018:2:H:y14,,182,Bus 182,Derry~Londonderry - Ardground,3,,,
nir:02006:9:H:y14,,69,Bus 69,Armagh - Keady - Darkley,3,,,
nir:04002: :R:y14,,2,Bus 2,Bangor - Holywood - Belfast,3,,,
nir:08016:E:H:y14,,16E,Bus 16E,Downpatrick - Strangford,3,,,
nir:15002:D:R:mtt,,2D,Bus 2D,Monkstown - City Centre,3,,,
nir:15028: :R:mtt,,28,Bus 28,Holywood Exchange - City Centre,3,,,
nir:10397: :H:y14,,397a,Bus 397a,"Enniskillen, Buscentre - Enniskillen, Buscentre",3,,,
nir:06055:1:H:y14,,551,Bus 551,Belfast - Craigavon,3,,,
nir:05116:D:H:y14,,116d,Bus 116d,Coleraine - Maghera,3,,,
nir:15002:C:H:mtt,,2C,Bus 2C,City Centre - Monkstown,3,,,
nir:15026:C:H:mtt,,26C,Bus 26C,City Centre - Titanic Quarter Belfast Met,3,,,
nir:21FY2: :R:y14,,FY2,Bus FY2,Altnagelvin - Nelson Drive - City Centre,3,,,
nir:90Sub:3:H:y14,,(Bus Substitution),Substitution (Bus Substitution),,3,,,
nir:13010:3:H:y14,,103,Bus 103,Belfast - Ballymacash - Crumlin,3,,,
nir:18568: :R:y14,,568,Bus 568,Whitehead - Carrickfergus - Belfast,3,,,
nir:21FY1:0:R:y14,,FY10,Bus FY10,Ballymagroarty - City Centre,3,,,
nir:15001:D:H:mtt,,1D,Bus 1D,City Centre - New Mossley - Mossley Glade,3,,,
nir:19007: :H:y14,,7,Bus 7,Belfast - Newtownards - Ballywalter,3,,,
nir:01321:A:H:y14,,321a,Bus 321a,Antrim Town Service,3,,,
nir:07015:2:H:y14,,152,Bus 152,Derry~Londonderry - Eglinton,3,,,
nir:05057:3:H:y14,,573,Bus 573,Belfast - Antrim,3,,,
nir:15002:E:R:mtt,,2E,Bus 2E,Monkstown - Rathcoole - City Centre,3,,,
nir:0667B: :H:y14,,67B,Bus 67B,"Portadown, High Street - Tullyroan Bridge",3,,,
nir:06330: :H:y14,,330C,Bus 330C,"Banbridge, War Memorial - Banbridge, Outlet Park",3,,,
nir:04001: :H:y14,,1,Bus 1,Belfast - Holywood - Bangor,3,,,
nir:12015:6:H:y14,,156,Bus 156,Belfast - Larne,3,,,
nir:21FY1:1:R:y14,,FY11,Bus FY11,Ballymagroarty - City Centre,3,,,
nir:08315:A:R:y14,,315a,Bus 315a,Downpatrick Town service,3,,,
nir:17053:8:R:y14,,538,Bus 538,Newry - Banbridge - Belfast,3,,,
nir:07027:4:H:y14,,274,Bus 274,Derry~Londonderry - Dublin Airport - Dublin,3,,,
nir:04502:A:H:y14,,502A,Bus 502A,Belfast - Holywood - Bangor,3,,,
nir:08026:A:R:y14,,26A,Bus 26A,Newcastle - Ballynahinch - Lisburn,3,,,
nir:15002:0:H:mtt,,20,Bus 20,City Centre - Dundonald,3,,,
nir:15007:D:R:mtt,,7D,Bus 7D,Laurelgrove - Four Winds - Mount Merrion - City Centre,3,,,
nir:03324:D:H:y14,,324D,Bus 324D,Ballymena Town Service Carninny,3,,,
nir:14011:0:R:y14,,110,Bus 110,Cookstown - Antrim,3,,,
nir:0667B: :R:y14,,67B,Bus 67B,"Tullyroan Bridge - Portadown, High Street",3,,,
nir:06053: :R:y14,,53,Bus 53,"Gawleys Gate - Aghalee - Lurgan, Market Street",3,,,
nir:03127: :H:y14,,127,Bus 127,"Ballymena, Buscentre - Magherafelt, Buscentre",3,,,
nir:02070: :R:y14,,70,Bus 70,"Monaghan, Bus Station - Armagh",3,,,
nir:13052:1:R:y14,,521,Bus 521,Lisburn - Belfast,3,,,
nir:20384:B:R:y14,,384B,Bus 384B,Omagh Town Service,3,,,
nir:07014:8:R:y14,,148,Bus 148,Claudy - Derry~Londonderry,3,,,
nir:08240:C:H:y14,,240,Bus 240,"Downpatrick, Bus Station - Newry, Buscentre",3,,,
nir:04502:B:H:y14,,502B,Bus 502B,Belfast - Holywood - Bangor,3,,,
nir:14389: :H:y14,,389a,Bus 389a,MAGHERAFELT TOWN SERVICE,3,,,
nir:21FY1:C:H:y14,,FY15,Bus FY15,City Centre - Buncrana Road - Woodbrook,3,,,
nir:12006: :R:y14,,6,Bus 6,"Newtownards, Buscentre - Bangor, Buscentre",3,,,
nir:12006:C:H:y14,,6C,Bus 6C,"Bangor, Bus Station - Newtownards, Buscentre",3,,,
nir:15014:B:H:mtt,,14B,Bus 14B,City Centre - Glenville,3,,,
nir:04302:A:H:y14,,302A,Bus 302A,Bangor Town Service Towerview,3,,,
nir:15005:A:H:mtt,,5A,Bus 5A,City Centre - Braniel,3,,,
nir:08001:9:H:y14,,19,Bus 19,Downpatrick - Ballynahinch,3,,,
nir:15009:2:R:mtt,,92,Bus 92,Musgrave Park Hospital - Boucher Road - City Centre,3,,,
nir:12010: :R:y14,,10,Bus 10,"Portaferry - Belfast, Europa Buscentre",3,,,
nir:19007:B:H:y14,,7B,Bus 7B,Belfast - Newtownards - Ballywalter,3,,,
nir:05011:7:H:y14,,117,Bus 117,Coleraine - Kilrea,3,,,
nir:14021:0:H:y14,,210,Bus 210,Cookstown - Belfast,3,,,
nir:09067: :H:y14,,67,Bus 67,Portadown - Dungannon,3,,,
nir:05017:2:R:y14,,172,Bus 172,Ballycastle - Coleraine,3,,,
nir:10019:4:R:y14,,194,Bus 194,Pettigo - Enniskillen,3,,,
nir:02004:0:R:y14,,40,Bus 40,Armagh - Newry,3,,,
nir:02072: :H:y14,,72,Bus 72,Armagh - Dungannon,3,,,
nir:13325:D:H:y14,,325E,Bus 325E,Lisburn City Service - Causeway End Park,3,,,
nir:1300X:1:H:y14,,X1,Bus X1,Belfast - Dublin Airport - Dublin,3,,,
nir:12359:D:H:y14,,359e,Bus 359e,"Larne, Millbrook Town Service",3,,,
nir:08052:0:R:y14,,520,Bus 520,Newcastle - Belfast,3,,,
nir:15082: :R:mtt,,82,Bus 82,Hannahstown Hill - Glen Road - Turf Lodge - City Centre,3,,,
nir:15010:E:H:mtt,,10E,Bus 10E,City Centre - Lagmore Mount Eagles,3,,,
nir:90Sub:3:R:y14,,(Bus Substitution),Substitution (Bus Substitution),,3,,,
nir:12153: :H:y14,,153b,Bus 153b,Ballyclare to Dixons Corner,3,,,
nir:01109: :R:y14,,109A,Bus 109A,"Lisburn, Buscentre - Antrim, Buscentre",3,,,
nir:12006:C:R:y14,,6C,Bus 6C,"Newtownards, Buscentre - Bangor, Buscentre",3,,,
nir:12359:B:H:y14,,359c,Bus 359c,"Larne, Sallagh Park Town Service",3,,,
nir:17039: :H:y14,,39,Bus 39,"Newry, Buscentre - Kilkeel, Greencastle Street",3,,,
nir:0816D: :H:y14,,16d,Bus 16d,"Downpatrick, Bus Station - Ballylucas, Bus stop",3,,,
nir:06056: :H:y14,,56,Bus 56,"Lurgan, Market Street - Banbridge, War Memorial",3,,,
nir:05172:A:R:y14,,172A,Bus 172A,Portballintrae - Coleraine,3,,,
nir:15011:A:H:mtt,,11A,Bus 11A,City Centre - Silverstream,3,,,
nir:15064:B:R:mtt,,64B,Bus 64B,Downview - City Centre,3,,,
nir:08051:8:R:y14,,518,Bus 518,Newcastle - Belfast,3,,,
nir:15030:A:H:mtt,,30A,Bus 30A,City Centre - Mount Merrion - Upper Knockbreda Road,3,,,
nir:1506A: :R:mtt,,6A,Bus 6A,Forestside - City Centre,3,,,
nir:21FY1: :R:y14,,FY12,Bus FY12,Slievemore - City Centre,3,,,
nir:17338:E:H:y14,,338E,Bus 338E,Newry - Bessbrook - Newry,3,,,
nir:19006:C:H:y14,,6C,Bus 6C,Bangor - Newtownards,3,,,
nir:17341: :H:y14,,341,Bus 341,"Newry, Buscentre - Newry, Rail Station",3,,,
nir:21FY7: :R:y14,,FY7,Bus FY7,Lone Moor - City Centre,3,,,
nir:15005:B:R:mtt,,5B,Bus 5B,Braniel - City Centre,3,,,
nir:15082: :H:mtt,,82,Bus 82,City Centre - Turf Lodge - Glen Road - Hannahstown Hill,3,,,
nir:12130: :R:y14,,130,Bus 130,"Larne, Bus Station - Ballymena, Bus Station",3,,,
nir:15092:A:R:mtt,,92A,Bus 92A,Ladybrook - Boucher Road - City Centre,3,,,
nir:06062: :H:y14,,62,Bus 62,"Portadown, High Street - Banbridge, War Memorial",3,,,
nir:19010:A:H:y14,,10A,Bus 10A,Belfast - Newtownards - Portaferry,3,,,
nir:1503A: :R:mtt,,3A,Bus 3A,Knocknagoney - Holywood Road - City Centre,3,,,
nir:13052: :R:y14,,52,Bus 52,Meghaberry - Lisburn,3,,,
nir:19307:D:H:y14,,307D,Bus 307D,Newtownards - West Winds Estate,3,,,
nir:12153:A:R:y14,,153A,Bus 153A,Larne - Ballyclare - Belfast,3,,,
nir:09080:C:H:y14,,80C,Bus 80C,Dungannon - Newmills - Coalisland,3,,,
nir:07027:4:R:y14,,274,Bus 274,Dublin - Dublin Airport - Derry~Londonderry,3,,,
nir:08051:5:R:y14,,515,Bus 515,Downpatrick - Belfast,3,,,
nir:0816A: :H:y14,,16A,Bus 16A,Downpatrick - Ballyhornan,3,,,
nir:90001: :H:r12,,,Rail,,6,,,
nir:08001:8:H:y14,,18,Bus 18,Belfast - Newcastle,3,,,
nir:04302:F:H:y14,,302F,Bus 302F,Bangor Town Service Kilcooley,3,,,
nir:1489C: :R:y14,,89C,Bus 89C,Magherafelt - Cookstown,3,,,
nir:15001:3:H:mtt,,13,Bus 13,City Centre - Newtownabbey - City Centre,3,,,
nir:17341: :R:y14,,341,Bus 341,"Newry, Rail Station - Newry, Buscentre",3,,,
nir:19003: :R:y14,,3,Bus 3,Ballywalter - Bangor,3,,,
nir:19307:D:R:y14,,307D,Bus 307D,West Winds - Newtownards,3,,,
nir:02BE6: :R:y14,,BE65,Bus BE65,"Athlone, Bus station - Monaghan, Bus Station",3,,,
nir:15649: :H:mtt,,649,Bus 649,Eastside Park + Ride - City Centre - Eastside Park + Ride,3,,,
nir:07024:6:H:y14,,246,Bus 246,Dungiven - Limavady,3,,,
nir:15007:D:H:mtt,,7D,Bus 7D,City Centre - Mount Merrion - Four Winds - Laurelgrove,3,,,
nir:08026:B:R:y14,,26B,Bus 26B,Newcastle - Ballynahinch - Lisburn,3,,,
nir:15002:C:R:mtt,,2C,Bus 2C,Monkstown - City Centre,3,,,
nir:06055:1:R:y14,,551,Bus 551,Craigavon - Belfast,3,,,
nir:07003:3:H:y14,,33,Bus 33,Derry~Londonderry - Dublin Airport - Dublin,3,,,
nir:15002:B:R:mtt,,2B,Bus 2B,Fairview Road - City Centre,3,,,
nir:14021:0:R:y14,,210,Bus 210,Belfast - Cookstown,3,,,
nir:19050:7:H:y14,,507,Bus 507,Belfast - Newtownards - Ballywalter,3,,,
nir:07LIN: :R:y14,,LINK,Bus LINK,Waterside - Derry~Londonderry Centre,3,,,
nir:13325:F:H:y14,,325K,Bus 325K,Lisburn City Service - Limetree Avenue,3,,,
nir:06352: :H:y14,,352A,Bus 352A,Lurgan Town Service,3,,,
nir:07014:7:R:y14,,147,Bus 147,Claudy - Derry~Londonderry,3,,,
nir:90005:X:H:r12,,,Rail,,6,,,
nir:12307:D:R:y14,,307D,Bus 307D,"West Winds Estate, Church - Newtownards, Shopping Centre",3,,,
nir:04302:B:H:y14,,302B,Bus 302B,Bangor Town Service Ashbury,3,,,
nir:90003: :R:r12,,,Rail,,6,,,
nir:15600:B:H:mtt,,600B,Bus 600B,Europa Buscentre - George Best Belfast City Airport,3,,,
nir:20009:3:R:y14,,93,Bus 93,Gortfin - Sixmilecross - Beragh - Omagh,3,,,
nir:06368: :H:y14,,368A,Bus 368A,Portadown Town Service,3,,,
nir:15057:A:H:mtt,,57A,Bus 57A,City Centre - Ligoniel,3,,,
nir:04001: :R:y14,,1,Bus 1,Bangor - Holywood - Belfast,3,,,
nir:13052:1:H:y14,,521,Bus 521,Belfast - Lisburn,3,,,
nir:12359:A:H:y14,,359b,Bus 359b,Larne - Seacourt Town Service,3,,,
nir:05011:5:H:y14,,115,Bus 115,Ballymena - Kilrea,3,,,
nir:15001:C:H:mtt,,1C,Bus 1C,City Centre - New Mossley - Fairview Road - Glenville,3,,,
nir:03324:A:H:y14,,324A,Bus 324A,Ballymena Town Service Dunclug,3,,,
nir:05021:7:H:y14,,217,Bus 217,Ballymena - Ballycastle,3,,,
nir:15648: :H:mtt,,648,Bus 648,City Centre - Northside Park + Ride,3,,,
nir:05013:1:H:y14,,131,Bus 131,Ballymena - Ballycastle,3,,,
nir:19006:C:R:y14,,6C,Bus 6C,Newtownards - Bangor,3,,,
nir:05116:B:H:y14,,116b,Bus 116b,Maghera - Magherafelt,3,,,
nir:15005:7:R:mtt,,57,Bus 57,Ligoniel - City Centre,3,,,
nir:15001:4:H:mtt,,14,Bus 14,City Centre - Newtownabbey - City Centre,3,,,
nir:20384:E:R:y14,,384G,Bus 384G,Omagh Town Service,3,,,
nir:15008:B:H:mtt,,8B,Bus 8B,City Centre - Malone,3,,,
nir:12025:3:R:y14,,253,Bus 253,Larne - Ballyclare - Belfast,3,,,
nir:06005:0:R:y14,,50,Bus 50,Tandragee - Gilford - Lurgan,3,,,
nir:12128: :R:y14,,128,Bus 128,"Carnlough - Ballymena, Buscentre",3,,,
nir:15011:C:R:mtt,,11C,Bus 11C,Glencairn - City Centre,3,,,
nir:06352:A:H:y14,,352B,Bus 352B,Lurgan Town Service,3,,,
nir:15010:B:H:mtt,,10B,Bus 10B,City Centre - Poleglass,3,,,
nir:13051:1:R:y14,,511,Bus 511,Shrigley Mill - Comber - Belfast,3,,,
nir:06006:3:H:y14,,63,Bus 63,Portadown - Newry,3,,,
nir:08003:7:R:y14,,37,Bus 37,"Kilkeel, Greencastle Street - Newcastle, Bus Station",3,,,
nir:1503A: :H:mtt,,3A,Bus 3A,City Centre - Holywood Road - Knocknagoney,3,,,
nir:06055: :H:y14,,55,Bus 55,"Lurgan, Market Street - Bannfoot",3,,,
nir:08016:E:R:y14,,16E,Bus 16E,Strangford - Downpatrick,3,,,
nir:1905A: :R:y14,,5A,Bus 5A,Comber - Newtownards,3,,,
nir:12025:6:H:y14,,256,Bus 256,Belfast - Larne,3,,,
nir:06005:0:H:y14,,50,Bus 50,Lurgan - Gilford - Tandragee,3,,,
nir:12007:B:R:y14,,7B,Bus 7B,"Ballywalter, Main Street - Belfast, Europa Buscentre",3,,,
nir:21FY2: :H:y14,,FY2,Bus FY2,City Centre - Nelson Drive - Altnagelvin,3,,,
nir:15002:D:H:mtt,,2D,Bus 2D,City Centre - Monkstown,3,,,
nir:05011:5:R:y14,,115,Bus 115,Kilrea - Ballymena,3,,,
nir:13325:B:H:y14,,325C,Bus 325C,Lisburn City Service - Corby Drive,3,,,
nir:13052: :H:y14,,52,Bus 52,Lisburn - Meghaberry,3,,,
nir:17023:8:H:y14,,238,Bus 238,Belfast - Banbridge - Newry,3,,,
nir:06056: :R:y14,,56,Bus 56,"Banbridge, War Memorial - Lurgan, Market Street",3,,,
nir:15009:B:H:mtt,,9B,Bus 9B,City Centre - Balmoral Sicily Park,3,,,
nir:21FY1:C:R:y14,,FY15,Bus FY15,Woodbrook - Buncrana Road - City Centre,3,,,
nir:12009:B:H:y14,,9B,Bus 9B,Belfast - Portaferry,3,,,
nir:0978A: :H:y14,,78A,Bus 78A,Dungannon - Ballygawley,3,,,
nir:20384:F:R:y14,,384A,Bus 384A,Omagh Town Service,3,,,
nir:02072: :R:y14,,72,Bus 72,Dungannon - Armagh,3,,,
nir:19010: :H:y14,,10,Bus 10,Belfast - Newtownards - Portaferry,3,,,
nir:08320:B:H:y14,,320B,Bus 320B,Newcastle Town Service,3,,,
nir:05140:B:H:y14,,140B,Bus 140B,Coleraine Triangle Service,3,,,
nir:03122: :R:y14,,122,Bus 122,"Randalstown, New Street - Ballymena, Buscentre",3,,,
nir:18563: :H:y14,,563,Bus 563,Belfast - Greenisland - Whitehead,3,,,
nir:15001:J:R:mtt,,1J,Bus 1J,Royal Mail Mallusk - City Centre,3,,,
nir:05319:A:H:y14,,319b,Bus 319b,Coleraine Mall Bus Stop - Coleraine Mall Bus Stop,3,,,
nir:17004:5:R:y14,,45,Bus 45,Newry - Banbridge - Belfast,3,,,
nir:15027: :R:mtt,,27,Bus 27,Knocknagoney - Garnerville Road - Old Holywood Road - City Centre,3,,,
nir:15001:9:H:mtt,,19,Bus 19,City Centre - Tullycarnet - Dundonald,3,,,
nir:09261: :H:y14,,261,Bus 261,Belfast - Enniskillen,3,,,
nir:09067:E:R:y14,,67E,Bus 67E,Moygashel - Dungannon,3,,,
nir:07181: :R:y14,,181,Bus 181,"Buncrana - Foyle Street, Buscentre",3,,,
nir:18365:A:H:y14,,365B,Bus 365B,Carrickfergus Town Service,3,,,
nir:02371:A:H:y14,,371C,Bus 371C,Armagh - City Service,3,,,
nir:19307:A:H:y14,,307A,Bus 307A,Town Service Stratheden Heights,3,,,
nir:12050:7:H:y14,,507,Bus 507,"Belfast, Europa Buscentre - Main Street - Ballywalter",3,,,
nir:05132: :R:y14,,132,Bus 132,"Ballymoney, Buscentre - Portrush, Dunluce Avenue",3,,,
nir:15011:D:R:mtt,,11D,Bus 11D,Springmartin - Glencairn - City Centre,3,,,
nir:17036: :H:y14,,36,Bus 36,"Rathfriland, Bus Depot - Kilcoo",3,,,
nir:07336:B:H:y14,,336B,Bus 336B,Limavady Town Service,3,,,
nir:09075: :H:y14,,75,Bus 75,"Portadown, High Street - Dungannon, Bus Station",3,,,
nir:19005:D:R:y14,,5D,Bus 5D,West Winds - Newtownards,3,,,
nir:12162: :H:y14,,162b,Bus 162b,Larne - Glynn,3,,,
nir:06004:7:H:y14,,47,Bus 47,Lurgan - Portadown,3,,,
nir:07398:C:H:y14,,398C,Bus 398C,"Strabane, Abercorn Square - Strabane, Abercorn Square",3,,,
nir:08240:C:R:y14,,240,Bus 240,"Newry, Buscentre - Downpatrick, Bus Station",3,,,
nir:07098: :R:y14,,98,Bus 98,"Strabane, Buscentre  - Derry, Foyle Street Buscentre",3,,,
nir:06055: :R:y14,,55,Bus 55,"Bannfoot - Lurgan, Market Street",3,,,
nir:15007:B:R:mtt,,7B,Bus 7B,Laurelgrove - Four Winds - City Centre,3,,,
nir:15009:A:R:mtt,,9A,Bus 9A,Conway - City Centre,3,,,
nir:13053:2:H:y14,,532,Bus 532,Belfast - Lisburn,3,,,
nir:15009:B:R:mtt,,9B,Bus 9B,Balmoral Sicily Park - City Centre,3,,,
nir:18568: :H:y14,,568,Bus 568,Belfast - Carrickfegus - Whitehead,3,,,
nir:09067:E:H:y14,,67E,Bus 67E,Dungannon - Moygashel,3,,,
nir:12162:A:R:y14,,162,Bus 162,"Carnlough - Larne, Bus Station",3,,,
nir:06330:A:H:y14,,330A,Bus 330A,Banbridge Town Service,3,,,
nir:05021:8:R:y14,,218,Bus 218,Coleraine - Ballymena - Antrim - Belfast,3,,,
nir:20027:3:H:y14,,273,Bus 273,Belfast - Dungannon - Omagh - Derry~Londonderry,3,,,
nir:09075: :R:y14,,75,Bus 75,"Dungannon, Bus Station - Portadown, High Street",3,,,
nir:15008:0:H:mtt,,80,Bus 80,City Centre - Ardoyne - Oldpark Westland Road,3,,,
nir:17039: :R:y14,,39,Bus 39,"Kilkeel, Greencastle Street - Newry, Buscentre",3,,,
nir:13030:0:R:y14,,300,Bus 300,International Airport - Belfast,3,,,
nir:12170: :H:y14,,170B,Bus 170B,Larne - Islandmagee ( Duffs Corner ),3,,,
nir:05178: :H:y14,,178,Bus 178,"Coleraine, Buscentre - Ballycastle, Marine Cnr",3,,,
nir:21FY3: :R:y14,,FY3,Bus FY3,Kilfennan - City Centre,3,,,
nir:03149: :H:y14,,149,Bus 149,"Ballyclare, Bus Station - Ballymena, Buscentre",3,,,
