nir:15001:9:H:mtt,10003969|10004026|10004009|10004029|10012480|10012402|10012423|10012432|10002144|10002134|10002150|10002131|10010135|10010131|10010139|10003154|10003147|10000208|10011528|10002030|10002028|10002035|10002982|10011023|10011028|10007683|10012029|10012023|10012028|10012027|10006500|10006498|10006499|10010353|10011412|10011417|10005822|10005813|10005812|10005816|10005799|10005838
nir:15020:A:H:mtt,10003969|10004026|10004009|10004020|10011920|10002149|10002146|10002136|10002145|10010133|10010137|10011532|10011531|10011527|10011530|10011523|10002991|10002048|10002994|10002995|10002974|10002997|10002985|10002969|10002988|10002977|10011403|10011404|10011416|10011410|10011402|10011405|10011407|10005809|10005799|10005838
nir:15031: :H:mtt,10003969|10004026|10004009|10004029|10012480|10012402|10002129|10002143|10002140|10004770|10004769|10004781|10004779|10003776|10003770|10003777|10003233|10003223|10003766|10003769|10003771|10007696|10007692|10006424|10006419
nir:15004:B:H:mtt,10003969|10004026|10004009|10004029|10012480|10012402|10002148|10002146|10002137|10002138|10002132|10010133|10010137|10003151|10003152|10011524|10011528|10002030|10002028|10002035|10002982|10011020|10011017|10012033|10012032|10011421|10011419|10011407|10005809|10005799|10005838|10005808|10005794|10005806|10005821|10005797|10000110|10000105|10000106
nir:1503A: :H:mtt,10003969|10004026|10004009|10004020|10011920|10002149|10002146|10002136|10002145|10010133|10010137|10011614|10011624|10011622|10011623|10011627|10011631|10011618|10011619|10011620|10002975|10002964|10002965|10007780|10007790|10007788|10007787|10007785
nir:15001:8:H:mtt,10003969|10004026|10004009|10004029|10012480|10012402|10012423|10012432|10002144|10002134|10002150|10002131|10010135|10010131|10010139|10003154|10003147|10000208|10011528|10002030|10002047|10002039|10002031|10002032|10002034|10010132|10003221|10003229|10011024|10011025|10011021|10011028|10007683|10007688|10007689|10012030|10006495|10007686
nir:15005:A:H:mtt,10003969|10004026|10004009|10004020|10004002|10004016|10002141|10002129|10002143|10002140|10004770|10004769|10004781|10004779|10003776|10003770|10003777|10003233|10003223|10003217|10003227|10003226|10003228|10003235|10003237|10003225|10003236|10003234|10003224|10007684|10007691|10007686
nir:15004:A:H:mtt,10003969|10004026|10004009|10004029|10012480|10012402|10002148|10002146|10002137|10002138|10002132|10010133|10010137|10003151|10003152|10011524|10011528|10002030|10002028|10002035|10002982|10011020|10011017|10012033|10012032|10011421|10011419|10011407|10005809|10005799|10005838|10005808|10005794|10005834|10005804|10005795|10005815|10005787|10005786
nir:1528A: :H:mtt,10003969|10004026|10004009|10004029|10012480|10012402|10002148|10002146|10002137|10002138|10002132|10010133|10010137|10011532|10011531|10011529|10011626|10011613|10003000|10002975|10002964|10002965|10007780|10007790|10007173|10007784
nir:15002:3:H:mtt,10003969|10004026|10004009|10004029|10012480|10012402|10002148|10002146|10002137|10002138|10002132|10010133|10010137|10011532|10011531|10011527|10011530|10011523|10002991|10002048|10002994|10002995|10002974|10002997|10002985|10002969|10002988|10002977|10011403|10011404|10011416|10011410|10011402|10011407
nir:1528A: :H:mtt,10003969|10004026|10004009|10004029|10012480|10012402|10002148|10002146|10002137|10002138|10002132|10010133|10010137|10011532|10011531|10011529|10011626|10011613|10003000|10002975|10002964|10002965|10007780|10007790|10007173
nir:15028: :H:mtt,10003969|10004026|10004009|10004029|10012480|10012402|10002148|10002146|10002137|10002138|10002132|10010133|10010137|10011532|10011531|10011529|10011626|10011613|10003000|10002975|10002964|10002965|10007780|10007790|10007781|10007782|10002979|10002983|10007785|10007787|10007786|10007173
nir:04001: :R:y14,10002737|10002775|10002828|10002715|10002744|10009978|10009968|10009971|10009944|10009971|10009973|10009979|10004746|10004743|10004738|10010993|10010997|10011001|10011000|10010995|10004975|10004972|10004971|10004969|10007181|10007194|10007189|10007191|10007177|10007201|10007188|10007192|10007195|10007184|10007193|10007182|10007785|10007787|10007786|10007790|10007791|10007789|10002965|10002964|10002975|10003000|10002998|10011613|10011626|10011529|10011531|10003156|10010137|10010133|10002132|10002138|10002130|10002146|10012428|10004000|10012480|10003999|10003969|10000567
nir:1503A: :H:mtt,10003969|10004026|10004009|10004020|10011920|10002149|10002146|10002136|10002145|10010133|10010137|10011614|10011624|10011628|10011622|10011623|10011627|10011631|10011618|10011619|10011620|10002975|10002964|10002965|10007780|10007790|10007788|10007787|10007785
