10000139,Camlough Road,54.1872653609,-6.37371645216,,,
10000140,Sanda Drive,54.8642278045,-5.8468187803,,,
10000141,Walnut Road,54.8623894142,-5.84906676967,,,
10000142,Lindara Estate,54.8564339564,-5.84365133998,,,
10000143,Lindara Estate,54.8576813947,-5.84557873149,,,
10000144,Lindara Estate,54.8603316269,-5.84755612889,,,
10000145,Primary School,55.0246142965,-7.18201755585,,,
10000146,Woodvale Road,55.0245530933,-7.18226903167,,,
10000147,Dellwood,55.0241095796,-7.18044827734,,,
10000148,Brookview Glen,55.0195755475,-7.18093170541,,,
10000150,Crescent Link Police Station,54.9894661397,-7.29237754496,,,
10000151,Burntollet Bridge,54.9400711764,-7.21529103578,,,
10000153,St Colmcille's Primary School,54.9127170508,-7.16215765018,,,
10000155,Strand Bar,54.9996806712,-7.32217518798,,,
10000156,outside Buscentre,54.3509837712,-6.65382337071,,,
10000157,Church Meadow,54.9964484654,-7.28950410131,,,
10000158,Glenshane Road,54.9273442897,-7.19538154428,,,
10000159,Glenshane Road Brackfield,54.9320000159,-7.20518115505,,,
10000160,Gortnaran Road,54.9185999798,-7.18028536853,,,
10000161,Woodend Road,54.8515647074,-7.4321395609,,,
10000162,B49 Woodend Road,54.8469783869,-7.44290076571,,,
10000163,Maydown Industrial Estate,55.028000457,-7.25312914474,,,
10000164,Culmore Road,55.0301879923,-7.29605544781,,,
10000165,Springfield Road,55.0346304144,-7.28441729368,,,
10000166,Alder Road,55.0387401257,-7.27744471238,,,
10000167,Templeard,55.0479485716,-7.27429010362,,,
10000168,Cloncool Park,55.0460859163,-7.28749906931,,,
10000169,Clonliffe Park,55.0504475729,-7.26402590432,,,
10000170,St Peter's Church,55.0232618898,-7.30562259481,,,
10000171,Smithfield Square,54.6016070153,-5.93370735599,,,
10000172,Coshquin,55.0332573017,-7.35714840138,,,
10000173,Wheatfield,55.0709310007,-7.2682532577,,,
10000174,Muff Main Street,55.0674136569,-7.26902195356,,,
10000175,Bridgend,55.0413576542,-7.38069058961,,,
10000176,Crescent Link,55.0008875928,-7.27590569644,,,
10000177,Sevenoaks,54.9925619262,-7.277946446,,,
10000178,Liberty Bridge,55.0644888491,-7.26971710516,,,
10000181,Burnfoot,55.0577120226,-7.40460488401,,,
10000182,Skeoge Road,55.0497548869,-7.39431641515,,,
10000183,Tooban,55.0653313588,-7.43101130456,,,
10000184,Cyclists Rest,55.0741855686,-7.44562022551,,,
10000185,Fahan Rectory,55.0800488232,-7.45678351615,,,
10000186,Lisfannon Strand,55.098126045,-7.47743917881,,,
10000187,North West Golf Club,55.1126414513,-7.46424081214,,,
10000188,Inishowen Gateway,55.1246793768,-7.45586432462,,,
10000189,St Marys Road,55.1361642993,-7.45650792853,,,
10000191,South By-Pass,53.9710522793,-6.70189063917,,,
10000197,Shorefront,55.1302531413,-7.46068078913,,,
10000198,316 Coast Road,54.9026859566,-5.86741054138,,,
10000199,332 Coast Road,54.9038147532,-5.87028283473,,,
10000200,288 Coast Road,54.900674414,-5.86391457803,,,
10000201,266 Coast Road,54.8987347122,-5.85481701131,,,
10000202,Glenvarna Drive,54.6801473218,-5.96418106577,,,
10000203,Ballyhenry Avenue,54.6802378641,-5.96850365899,,,
10000204,Ballyhenry Road,54.6826542082,-5.9679021368,,,
10000205,Glendhu Park,54.614494954,-5.85420657788,,,
10000206,Cherry Mews,54.5544258325,-6.0136646503,,,
10000208,Kirkliston Drive,54.593619457,-5.87619826036,,,
10000209,Woodvale Park,54.6088063887,-5.96505027257,,,
10000210,Roddens Park,54.5802647586,-5.8695595428,,,
10000211,Dundonald Park and Ride,54.5960050247,-5.7974933849,,,
10000212,Lady Wallace Road,54.5308091505,-6.07427275828,,,
10000213,Fountain Crescent,54.5303712611,-6.07781646963,,,
10000214,Sir Richard Wallace Road,54.53145873,-6.07725542524,,,
10000215,Lady Wallace Link,54.5305477311,-6.07535127128,,,
10000216,Lady Wallace Walk,54.5308103845,-6.07322194114,,,
10000217,Linen Green,54.5292862078,-6.06725209879,,,
10000218,Burandell Manor,54.5315552632,-6.05910949132,,,
10000219,Highfields Park,54.5300865687,-6.05887014557,,,
10000220,Highfields Avenue,54.5292538496,-6.05962044798,,,
10000221,Kenilworth Mews,54.5289512378,-6.06204526504,,,
10000222,Belmont Road,54.5280039083,-6.06518041022,,,
10000223,Holborn Hall,54.5026205033,-6.02104308626,,,
10000224,Holburn Hall lower,54.502779044,-6.02304287092,,,
10000225,Ballintine Gardens,54.5069799926,-6.02494030409,,,
10000234,Park and Ride Glenshane Rd,54.8360192775,-6.68217346478,,,
10000554,Antrim Buscentre,54.7181028773,-6.21228495555,,,
10000555,Armagh Buscentre,54.3505228327,-6.65439223177,,,
10000556,Ballyclare Buscentre,54.7493437973,-5.99754539223,,,
10000557,Ballymena Buscentre,54.8635483059,-6.28479293438,,,
10000558,War Memorial,54.346454194,-6.27148134774,,,
10000559,Bangor Buscentre,54.6587794022,-5.67063968052,,,
10000560,Coleraine Buscentre,55.1334983376,-6.66269911227,,,
10000561,Cookstown Bus Station,54.6461000778,-6.74139370151,,,
10000562,Craigavon Bus Station,54.4503123463,-6.39791159784,,,
10000563,Downpatrick Bus Station,54.3258198583,-5.71931749137,,,
10000564,Dungannon Bus Station,54.5013422863,-6.7740700922,,,
10000565,Enniskillen Bus Station,54.3439447765,-7.63966145522,,,
10000566,Europa Buscentre,54.5945739001,-5.93602912319,,,
10000567,Laganside Buscentre,54.6001234201,-5.9231638839,,,
10000568,Larne Bus Station,54.8486981826,-5.82060895518,,,
10000569,Limavady Buscentre,55.0539262423,-6.94847118191,,,
10000570,Lisburn Buscentre,54.5095485844,-6.04751965962,,,
10000571,Buscentre,54.9965936116,-7.31800758597,,,
10000572,Magherafelt Buscentre,54.7561552488,-6.60812699964,,,
10000573,Newcastle Bus Station,54.2148675211,-5.88850912886,,,
10000574,Newry Buscentre,54.1755689404,-6.33914139937,,,
10000575,Newtownards Bus Station,54.5943451616,-5.69959524271,,,
10000576,Omagh Buscentre,54.601683278,-7.30162578724,,,
10000577,Strabane Buscentre,54.826418936,-7.47052692259,,,
10001001,Village,54.3092384497,-6.37745508363,,,
10001002,Monclone Lane,54.3205674164,-6.37255115847,,,
10001003,Munclone Lane,54.3213866907,-6.37399461157,,,
10001004,RyansCorner,54.3087838566,-6.37106443186,,,
10001006,Buckna Road End,54.8974370485,-6.16564837573,,,
10001009,Jamisons House,54.9084165973,-6.14189467169,,,
10001010,Loughloghan Road,54.9035060829,-6.15578174458,,,
10001012,Rosehill Road End,54.9002116286,-6.14068206728,,,
10001014,Chapel,54.5099028522,-6.29235460995,,,
10001015,2-6 Colaine Manor,54.5063564167,-6.29895749833,,,
10001016,Ballykeel Road,54.5118259445,-6.28663711351,,,
10001017,Colelane,54.5067273293,-6.29849425089,,,
10001018,Cranagh Lane,54.5088712675,-6.30782562291,,,
10001019,Derrymore School,54.5363214776,-6.32891244388,,,
10001020,Gawleys Gate,54.5413925827,-6.31938543626,,,
10001021,Grants Lane,54.5368242603,-6.3094817602,,,
10001022,Rock Lane,54.5151266194,-6.28175706659,,,
10001023,Whitehall Corner,54.5046992261,-6.30253165013,,,
10001024,Yarrs House,54.5256264494,-6.3333816948,,,
10001025,2-8 Balinderry Road,54.5250504908,-6.25995803777,,,
10001026,Ballycairn,54.5207261937,-6.26922535547,,,
10001027,Brackin Island Road,54.5601515944,-6.30424900485,,,
10001029,Brankinstown Road,54.5205235147,-6.27264791421,,,
10001030,Church Lane,54.5251255423,-6.2595531543,,,
10001031,Cornation Gardens,54.5184263104,-6.26300475933,,,
10001032,Derryash Road,54.5257928898,-6.28804524495,,,
10001033,Derryola Bridge,54.55289992,-6.30107139238,,,
10001034,Holybrook,54.52020533,-6.26360894347,,,
10001035,Village,54.5200690337,-6.27102964099,,,
10001036,Rock Lane,54.5153406151,-6.28100667829,,,
10001037,Soldierstown,54.5208906553,-6.26439860772,,,
10001038,The Beeches,54.522428484,-6.26635714511,,,
10001039,351-359 Seacoast Road,55.1385944369,-6.94583856028,,,
10001040,Aghanloo Crossroads,55.0836368024,-6.94404238968,,,
10001041,Ballarena Primary School,55.1180665251,-6.95340220621,,,
10001042,Bellarena Primary School,55.1178868697,-6.95340690371,,,
10001043,Mc Laughlin House,55.0985301994,-6.93744504425,,,
10001044,Mc Laughlin School,55.1013420733,-6.93740178702,,,
10001045,Myroe Dispensary,55.1117052944,-6.94922688128,,,
10001046,Myroe Junction,55.1117530458,-6.9495547767,,,
10001047,O Haras  Farm,55.111114864,-6.94952450009,,,
10001048,O Haras Farm,55.1003817726,-6.95204672453,,,
10001049,Aghermore Gardens,55.1697529844,-6.70852964243,,,
10001050,Agherton Village,55.1692481691,-6.70837329808,,,
10001051,15-23 Milltown,54.357241557,-6.49799116783,,,
10001052,25-33 Milltown,54.3568342902,-6.4977598529,,,
10001053,67-75 Aghory Road,54.3614857653,-6.50399133121,,,
10001054,Ahorey Xrds,54.349308241,-6.48805081573,,,
10001055,Burkes,54.3670535005,-6.47496407151,,,
10001057,Markethill Road,54.3418977621,-6.49190643241,,,
10001058,Newells Cross,54.3564679701,-6.4799873227,,,
10001059,Newells Xrds,54.3566189248,-6.47984327716,,,
10001060,Woolsey Lane,54.3599806077,-6.50146101495,,,
10001061,11-19 Galgorm Road,54.8512484643,-6.36105098055,,,
10001062,Diamond,54.8510196448,-6.36607500334,,,
10001063,Ahoghill Chapel,54.8463323977,-6.37503143837,,,
10001064,Andersons Lane,54.8461342673,-6.40412750841,,,
10001065,Ballybeg Crossroads,54.8471577591,-6.39044588831,,,
10001072,Glenhugh Road Ahoghill,54.8512880277,-6.36598628516,,,
10001075,Orange Hall,54.8514982509,-6.36091626069,,,
10001078,Giants Causeway The Nook,55.23202566,-6.51561952698,,,
10001080,Runkerry,55.2275062605,-6.51710832973,,,
10001081,Runkerry Road,55.2272301381,-6.51730724277,,,
10001082,The Aird,55.2348966423,-6.49765115259,,,
